"id","name","phone","latitude","longitude"
"449662d4-396c-4a35-8526-4ea2789c30d6","900 Degrees","",53.4926339,-2.1075762
"3b67de8b-9560-4586-8004-114966210bda",A M F Bowling,"",52.2901448,-0.6857055
"3999df7c-8a1f-4168-864d-ebe84b10049f",AMT Coffee,"",51.4188749,-0.1353899
bdca5d9d-3155-4425-b674-2f80613b5bcd,And Eat It,"",52.6292682,1.3015677
"6971c1dc-5cb2-4a35-9609-ca8feb0839ca",Arabica Coffee,"",51.3887917,0.0733092
bccc9ebb-149f-4307-baef-5eb2dc953b34,Aroma Lounge Inn,"",51.5793806,-0.3995769
"2fb12033-8db0-4967-ad2e-b3cf779c9954",Asha Indian Restaurant Ltd,"",53.3673989,-0.0003085
"48f20818-bc30-4484-b5c1-eccd7dd4c6cd",Auntie Annes,"",,
ec1d9f33-e115-4791-85e9-6656a0612e91,Bath Youth,"",51.37988,-2.340387
"86a4b74e-069b-4b9e-ac6e-27dc24692597",Bexleyheath Brewers Fayre,"",,
ea081038-79b0-4124-8a10-f5e3e3f174b9,Black Sail Youth Hostel,"",54.5010379,-3.2413597
"1d72326f-487b-48ea-a9fa-80108e045dbe",Black Sheep Coffee,"",51.5031512,-0.0185521
bea09e5d-757b-4dc8-a4cf-66e0dee836f8,Black Sheep Coffee,"",51.5150167,-0.0859954
e44cfd2b-f8ee-4a3d-918c-dd0e82cf2eed,BOCA,"",,
b784f1c9-28d3-48f8-82b5-37e189dd733a,Bold Arms,+44 1704 228192,53.6756592,-2.9627978
f8e4668a-4cec-48a6-baa6-691ce90e249e,Boston Tea Party,"",,
b5f7d070-7e73-4302-bfe7-ab64df587252,Bowl Inn,"",51.5546871,-2.5725017
"8da4da2a-6477-432a-840a-175c13670fd8",Bread Source,"",52.6376535,1.2828736
"1a369d71-896a-4fb7-bdd1-0d99670c31ef",Bronkos Restaurant,"",52.6296212,-1.148117
f73c9e42-2c7b-4dd7-a624-e211b9987055,Bunga Bunga,+44 20 7095 0360,51.490104,-0.154207
"03eb489e-73a6-4e2e-9963-a0ec023dc689",Burger King,"",51.7628011,-0.2385502
affe3d28-66a5-4222-8cee-e6ef07521163,Burger king,"",51.4754918,-0.0671632
"5d54d899-1752-43d7-bc60-29ae0d63d652",Byron,"",50.902581,-1.406649
d0528bca-c68d-4ca3-92f0-36415b0abb14,Caffe Cream,"",53.3980699,-3.0346356
"72a9efe6-b59a-4ad9-85b0-5b4e6ebcadc5",Caffe Nero,+44 20 8742 0297,51.4929384,-0.2554297
ab24ec68-65fa-4bde-abd2-70fa5c2742b0,Caravelli Restaurant,"",52.774968,-1.20265
"9079b2f0-a94b-4ca0-8a3b-c7dbf5044d58",Casa Tua,"",51.527675,-0.123565
"12c3d03b-4e90-474b-b542-5b5082a4ac17",CHINA RED RESTAURANT,"",,
"685f79c7-f0f6-4952-8c51-2abf6a09b807",Chinatown Express,"",,
c0b686a1-5eed-4294-ae88-d898b6e749af,Chopsticks,"",,
"61866497-6593-4838-be81-0ce727764f81",Clock Tower,"",53.2773298,-2.4931969
